Customer_ID,Credit_Limit,Current_Balance,KYC_Last_Updated,Last_Payment_Date,Account_Status,Txn_Count_Last_30_Days,Total_Txn_Amount_Last_30_Days,Late_Fees_Accrued,Region,KYC_parsed,Payment_Parsed,KYC_Violation,Payment_Overdue,Overlimit_Violation,High_risk_status,Late_fee_alert,Total_violation,Compliance_Risk_Score,Violation_Explanation
CUST0001,189752,171230,02-08-2023,22-05-2022,Closed,15,5141.33,1332,North,2023-08-02,2022-05-22,True,True,False,False,False,2,5,"KYC Violation, Payment Overdue"
CUST0002,134896,159185,16-08-2020,26-12-2024,Active,7,30266.63,201,North,2020-08-16,2024-12-26,True,True,True,False,False,3,7,"KYC Violation, Payment Overdue, Overlimit Violation"
CUST0003,121295,110226,21-02-2020,15-09-2022,Active,37,49326.59,3507,North,2020-02-21,2022-09-15,True,True,False,False,True,3,6,"KYC Violation, Payment Overdue, Late Fee Alert"
CUST0004,150689,100793,27-02-2024,20-09-2022,Active,11,27292.94,4212,North,2024-02-27,2022-09-20,True,True,False,False,True,3,6,"KYC Violation, Payment Overdue, Late Fee Alert"
CUST0005,61111,71934,17-07-2021,31-08-2024,Delinquent,23,46278.05,574,East,2021-07-17,2024-08-31,True,True,True,False,False,3,7,"KYC Violation, Payment Overdue, Overlimit Violation"
CUST0006,87504,60160,16-05-2021,30-01-2025,Active,27,12569.71,536,West,2021-05-16,2025-01-30,True,True,False,False,False,2,5,"KYC Violation, Payment Overdue"
CUST0007,182874,225849,02-04-2021,05-12-2022,Closed,7,38237.82,1625,South,2021-04-02,2022-12-05,True,True,True,False,False,3,7,"KYC Violation, Payment Overdue, Overlimit Violation"
CUST0008,58155,9540,12-10-2020,27-06-2023,Active,27,27032.02,2122,North,2020-10-12,2023-06-27,True,True,True,False,True,4,8,"KYC Violation, Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0009,89384,16364,17-02-2024,16-12-2024,Active,35,36305.29,385,East,2024-02-17,2024-12-16,True,True,False,False,False,2,5,"KYC Violation, Payment Overdue"
CUST0010,162561,168172,28-07-2020,16-05-2024,Active,25,4054.73,3281,East,2020-07-28,2024-05-16,True,True,True,False,True,4,8,"KYC Violation, Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0011,97254,125917,17-10-2023,10-03-2023,Active,7,8239.22,474,East,2023-10-17,2023-03-10,True,True,False,False,False,2,5,"KYC Violation, Payment Overdue"
CUST0012,71918,51991,25-02-2024,09-01-2025,Watchlist,49,7522.73,417,South,2024-02-25,2025-01-09,True,True,False,True,False,3,9,"KYC Violation, Payment Overdue, High-Risk Status"
CUST0013,135981,104182,21-01-2023,16-02-2023,Active,27,34671.11,3600,North,2023-01-21,2023-02-16,True,True,False,False,True,3,6,"KYC Violation, Payment Overdue, Late Fee Alert"
CUST0014,80306,30977,27-06-2020,01-10-2023,Active,27,42377.59,954,West,2020-06-27,2023-10-01,True,True,False,False,False,2,5,"KYC Violation, Payment Overdue"
CUST0015,197718,94704,24-04-2023,28-03-2024,Closed,36,37731.2,4971,West,2023-04-24,2024-03-28,True,True,True,False,True,4,8,"KYC Violation, Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0016,96843,49115,14-05-2022,04-02-2024,Active,40,2493.14,4858,East,2022-05-14,2024-02-04,True,True,False,False,True,3,6,"KYC Violation, Payment Overdue, Late Fee Alert"
CUST0017,170975,91007,06-03-2020,16-06-2024,Active,35,43493.53,1205,South,2020-03-06,2024-06-16,True,True,True,False,False,3,7,"KYC Violation, Payment Overdue, Overlimit Violation"
CUST0018,146601,11938,02-03-2020,25-11-2024,Active,26,18353.19,4759,South,2020-03-02,2024-11-25,True,True,False,False,True,3,6,"KYC Violation, Payment Overdue, Late Fee Alert"
CUST0019,157512,91680,10-07-2020,13-07-2024,Active,16,20461.03,4120,South,2020-07-10,2024-07-13,True,True,True,False,True,4,8,"KYC Violation, Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0020,197443,4000,23-03-2021,05-09-2022,Active,8,6138.59,1990,West,2021-03-23,2022-09-05,True,True,True,False,False,3,7,"KYC Violation, Payment Overdue, Overlimit Violation"
CUST0021,161472,167524,21-04-2021,23-05-2023,Active,32,37132.86,4805,East,2021-04-21,2023-05-23,True,True,True,False,True,4,8,"KYC Violation, Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0022,183121,101042,31-10-2022,06-04-2023,Delinquent,19,9931.91,3572,North,2022-10-31,2023-04-06,True,True,False,False,True,3,6,"KYC Violation, Payment Overdue, Late Fee Alert"
CUST0023,153727,93610,17-05-2023,12-05-2022,Active,12,28634.29,4380,West,2023-05-17,2022-05-12,True,True,True,False,True,4,8,"KYC Violation, Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0024,162893,103691,24-02-2020,24-11-2023,Active,27,42194.79,4158,East,2020-02-24,2023-11-24,True,True,False,False,True,3,6,"KYC Violation, Payment Overdue, Late Fee Alert"
CUST0025,70932,38304,23-02-2023,13-02-2022,Active,47,5371.01,4757,East,2023-02-23,2022-02-13,True,True,False,False,True,3,6,"KYC Violation, Payment Overdue, Late Fee Alert"
CUST0026,167796,69449,11-02-2021,19-04-2025,Closed,28,27231.44,2713,North,2021-02-11,2025-04-19,True,True,True,False,True,4,8,"KYC Violation, Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0027,79855,98305,06-01-2024,08-02-2025,Delinquent,12,12427.6,2203,North,2024-01-06,2025-02-08,True,True,True,False,True,4,8,"KYC Violation, Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0028,57400,24107,23-08-2023,17-04-2023,Active,45,17803.42,3120,North,2023-08-23,2023-04-17,True,True,False,False,True,3,6,"KYC Violation, Payment Overdue, Late Fee Alert"
CUST0029,167858,151836,07-12-2023,20-04-2025,Active,34,24224.53,966,South,2023-12-07,2025-04-20,True,True,False,False,False,2,5,"KYC Violation, Payment Overdue"
CUST0030,65151,38494,21-01-2023,28-03-2023,Active,5,18400.11,4944,North,2023-01-21,2023-03-28,True,True,False,False,True,3,6,"KYC Violation, Payment Overdue, Late Fee Alert"
CUST0031,116690,3373,09-05-2022,15-01-2022,Active,17,32792.32,3432,East,2022-05-09,2022-01-15,True,True,True,False,True,4,8,"KYC Violation, Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0032,54499,12161,27-03-2021,26-05-2022,Active,4,24499.52,688,North,2021-03-27,2022-05-26,True,True,False,False,False,2,5,"KYC Violation, Payment Overdue"
CUST0033,56295,89291,08-07-2022,01-05-2022,Active,46,29625.77,4243,East,2022-07-08,2022-05-01,True,True,True,False,True,4,8,"KYC Violation, Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0034,170885,199007,21-04-2023,14-04-2023,Active,24,37104.3,3701,West,2023-04-21,2023-04-14,True,True,True,False,True,4,8,"KYC Violation, Payment Overdue, Overlimit Violation, Late Fee Alert"
CUST0035,176071,123633,23-07-2021,19-05-2022,Active,1,28329.37,341,South,2021-07-23,2022-05-19,True,True,False,False,False,2,5,"KYC Violation, Payment Overdue"
CUST0036,109040,100386,14-01-2020,06-03-2022,Active,9,29740.24,1724,West,2020-01-14,2022-03-06,True,True,False,False,False,2,5,"KYC Violation, Payment Overdue"
CUST0037,62183,27350,03-04-2024,08-11-2023,Active,29,28658.47,4422,West,2024-04-03,2023-11-08,True,True,False,False,True,3,6,"KYC Violation, Payment Overdue, Late Fee Alert"
CUST0038,193946,93008,08-07-2024,26-05-2022,Active,49,19559.86,1792,East,2024-07-08,2022-05-26,True,True,True,False,False,3,7,"KYC Violation, Payment Overdue, Overlimit Violation"
CUST0039,166336,94297,22-11-2020,18-11-2024,Active,44,17534.89,1759,West,2020-11-22,2024-11-18,True,True,True,False,False,3,7,"KYC Violation, Payment Overdue, Overlimit Violation"
